Date,1 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
11/6/3,0.04,0.04,0.1,0.18,0.42,0.75,1.6,2.28,2.99,3.9,4.22
11/6/6,0.03,0.05,0.1,0.18,0.43,0.74,1.6,2.29,3.01,3.92,4.25
11/6/7,0.01,0.05,0.11,0.18,0.39,0.74,1.59,2.29,3.01,3.94,4.27
11/6/8,0.01,0.04,0.11,0.18,0.39,0.68,1.52,2.24,2.98,3.88,4.2
11/6/9,0.02,0.05,0.1,0.19,0.43,0.73,1.6,2.3,3.01,3.91,4.22
11/6/10,0.02,0.05,0.1,0.19,0.41,0.71,1.58,2.28,2.99,3.87,4.18
11/6/13,0.02,0.05,0.11,0.18,0.4,0.72,1.59,2.3,3,3.89,4.2
11/6/14,0.03,0.05,0.11,0.19,0.45,0.79,1.7,2.41,3.11,4,4.3
11/6/15,0.02,0.05,0.11,0.19,0.38,0.68,1.55,2.26,2.98,3.89,4.19
11/6/16,0.02,0.05,0.11,0.18,0.38,0.68,1.52,2.22,2.93,3.84,4.16
11/6/17,0.02,0.04,0.1,0.17,0.38,0.68,1.53,2.23,2.94,3.86,4.19
11/6/20,0.02,0.03,0.1,0.18,0.38,0.68,1.55,2.25,2.97,3.87,4.19
11/6/21,0.01,0.03,0.1,0.18,0.4,0.69,1.57,2.27,2.99,3.9,4.21
11/6/22,0.01,0.02,0.09,0.16,0.39,0.68,1.58,2.29,3.01,3.91,4.22
11/6/23,0.01,0.01,0.07,0.15,0.35,0.62,1.48,2.19,2.93,3.84,4.17
11/6/24,0.01,0.02,0.07,0.16,0.35,0.57,1.4,2.13,2.88,3.83,4.17
11/6/27,0.01,0.02,0.1,0.18,0.41,0.64,1.47,2.19,2.95,3.94,4.28
11/6/28,0.01,0.03,0.11,0.21,0.48,0.75,1.62,2.33,3.05,4.01,4.33
11/6/29,0.01,0.02,0.11,0.19,0.47,0.79,1.7,2.44,3.14,4.08,4.39
11/6/30,0.01,0.03,0.1,0.19,0.45,0.81,1.76,2.5,3.18,4.09,4.38
11/7/1,0.01,0.02,0.1,0.2,0.5,0.85,1.8,2.54,3.22,4.12,4.4
11/7/5,0.01,0.02,0.08,0.19,0.44,0.77,1.7,2.46,3.16,4.09,4.39
11/7/6,0.01,0.01,0.06,0.19,0.43,0.75,1.66,2.41,3.12,4.05,4.35
11/7/7,0.03,0.03,0.07,0.2,0.49,0.83,1.74,2.48,3.17,4.08,4.37
11/7/8,0.03,0.03,0.07,0.17,0.4,0.7,1.57,2.32,3.03,3.97,4.27
11/7/11,0.02,0.03,0.07,0.17,0.37,0.64,1.49,2.22,2.94,3.88,4.2
11/7/12,0.01,0.03,0.07,0.18,0.37,0.63,1.47,2.2,2.92,3.86,4.19
11/7/13,0.01,0.01,0.05,0.16,0.37,0.62,1.45,2.18,2.92,3.85,4.17
11/7/14,0.01,0.01,0.05,0.15,0.38,0.66,1.51,2.24,2.98,3.92,4.25
11/7/15,0.02,0.02,0.05,0.15,0.37,0.62,1.46,2.19,2.94,3.92,4.26
11/7/18,0.01,0.02,0.06,0.15,0.37,0.62,1.45,2.18,2.94,3.95,4.29
11/7/19,0.02,0.03,0.07,0.17,0.39,0.63,1.45,2.17,2.91,3.86,4.19
11/7/20,0.01,0.02,0.08,0.19,0.4,0.64,1.49,2.22,2.96,3.92,4.25
11/7/21,0.04,0.05,0.09,0.2,0.4,0.69,1.56,2.3,3.03,3.98,4.31
11/7/22,0.05,0.05,0.09,0.2,0.4,0.66,1.53,2.26,2.99,3.93,4.26
11/7/25,0.05,0.05,0.1,0.2,0.42,0.69,1.55,2.29,3.03,3.98,4.31
11/7/26,0.07,0.07,0.11,0.21,0.41,0.66,1.51,2.25,2.99,3.94,4.28
11/7/27,0.08,0.08,0.12,0.21,0.44,0.71,1.56,2.28,3.01,3.95,4.29
11/7/28,0.1,0.07,0.13,0.21,0.42,0.68,1.52,2.26,2.98,3.93,4.26
11/7/29,0.16,0.1,0.16,0.2,0.36,0.55,1.35,2.09,2.82,3.77,4.12
11/8/1,0.13,0.1,0.16,0.22,0.38,0.55,1.32,2.05,2.77,3.72,4.07
11/8/2,0.05,0.06,0.13,0.17,0.33,0.5,1.23,1.94,2.66,3.59,3.93
11/8/3,0.01,0.02,0.08,0.16,0.33,0.52,1.25,1.94,2.64,3.55,3.89
11/8/4,0.01,0.02,0.05,0.12,0.27,0.44,1.12,1.78,2.47,3.37,3.7
11/8/5,0.01,0.01,0.05,0.11,0.28,0.49,1.23,1.91,2.58,3.49,3.82
11/8/8,0.02,0.05,0.07,0.12,0.27,0.45,1.11,1.75,2.4,3.31,3.68
11/8/9,0.02,0.03,0.06,0.11,0.19,0.33,0.91,1.53,2.2,3.17,3.56
11/8/10,0.02,0.02,0.06,0.09,0.19,0.33,0.93,1.52,2.17,3.08,3.54
11/8/11,0.01,0.03,0.08,0.1,0.19,0.34,1.02,1.65,2.34,3.34,3.82
11/8/12,0.01,0.02,0.07,0.11,0.2,0.32,0.96,1.56,2.24,3.24,3.72
11/8/15,0,0.02,0.08,0.12,0.19,0.34,0.99,1.6,2.29,3.29,3.75
11/8/16,0.02,0.03,0.07,0.12,0.2,0.33,0.95,1.54,2.23,3.23,3.67
11/8/17,0.01,0.01,0.06,0.12,0.19,0.33,0.92,1.48,2.17,3.14,3.57
11/8/18,0.01,0.01,0.05,0.1,0.2,0.33,0.9,1.43,2.08,3.02,3.45
11/8/19,0,0.02,0.04,0.1,0.2,0.34,0.9,1.43,2.07,2.97,3.39
11/8/22,0.01,0.01,0.04,0.09,0.22,0.37,0.94,1.47,2.1,3,3.42
11/8/23,0.01,0.01,0.04,0.1,0.22,0.38,0.95,1.5,2.15,3.06,3.47
11/8/24,0.02,0.02,0.04,0.11,0.23,0.41,1.05,1.62,2.29,3.23,3.63
11/8/25,0.01,0.01,0.03,0.1,0.22,0.37,0.98,1.57,2.23,3.17,3.6
11/8/26,0,0.01,0.02,0.09,0.2,0.33,0.94,1.52,2.19,3.13,3.54
11/8/29,0,0.02,0.05,0.09,0.2,0.35,0.99,1.6,2.28,3.22,3.63
11/8/30,0.01,0.01,0.05,0.09,0.2,0.33,0.94,1.52,2.19,3.12,3.53
11/8/31,0.01,0.02,0.05,0.1,0.2,0.33,0.96,1.56,2.23,3.19,3.6
11/9/1,0.02,0.02,0.05,0.1,0.19,0.31,0.9,1.49,2.15,3.1,3.51
11/9/2,0.02,0.02,0.05,0.1,0.2,0.33,0.88,1.41,2.02,2.92,3.32
11/9/6,0.02,0.02,0.07,0.13,0.21,0.33,0.88,1.4,1.98,2.86,3.26
11/9/7,0,0.02,0.06,0.11,0.21,0.34,0.92,1.45,2.05,2.96,3.36
11/9/8,0.01,0.02,0.07,0.12,0.19,0.33,0.88,1.41,2,2.92,3.32
11/9/9,0,0.01,0.05,0.11,0.17,0.31,0.81,1.34,1.93,2.86,3.26
11/9/12,0.01,0.01,0.05,0.11,0.21,0.35,0.87,1.38,1.94,2.84,3.24
11/9/13,0,0.01,0.05,0.1,0.21,0.35,0.89,1.42,2,2.92,3.32
11/9/14,0,0.01,0.03,0.09,0.19,0.35,0.91,1.45,2.03,2.92,3.32
11/9/15,0,0.01,0.03,0.1,0.21,0.35,0.95,1.51,2.09,2.97,3.36
11/9/16,0.01,0.01,0.02,0.09,0.18,0.33,0.94,1.5,2.08,2.96,3.34
11/9/19,0,0.01,0.04,0.08,0.16,0.29,0.85,1.4,1.97,2.84,3.22
11/9/20,0,0.01,0.03,0.09,0.18,0.3,0.85,1.39,1.95,2.82,3.2
11/9/21,0.01,0.01,0.04,0.11,0.21,0.37,0.88,1.36,1.88,2.69,3.03
11/9/22,0,0,0.03,0.1,0.2,0.34,0.79,1.24,1.72,2.48,2.78
11/9/23,0,0.01,0.02,0.1,0.23,0.37,0.89,1.35,1.84,2.59,2.89
11/9/26,0,0.02,0.03,0.1,0.25,0.39,0.92,1.41,1.91,2.69,2.99
11/9/27,0,0.01,0.04,0.1,0.25,0.42,0.97,1.49,2,2.79,3.08
11/9/28,0,0.02,0.04,0.12,0.27,0.42,0.99,1.5,2.03,2.82,3.1
11/9/29,0,0.02,0.05,0.11,0.27,0.43,0.98,1.48,1.99,2.76,3.03
11/9/30,0.02,0.02,0.06,0.13,0.25,0.42,0.96,1.43,1.92,2.66,2.9
11/10/3,0.01,0.02,0.06,0.12,0.24,0.39,0.87,1.33,1.8,2.51,2.76
11/10/4,0.01,0.01,0.04,0.11,0.25,0.4,0.9,1.35,1.81,2.53,2.77
11/10/5,0,0,0.03,0.1,0.25,0.43,0.96,1.45,1.92,2.62,2.87
11/10/6,0.01,0.01,0.03,0.09,0.29,0.46,1.01,1.52,2.01,2.71,2.96
11/10/7,0.01,0.01,0.04,0.11,0.3,0.5,1.08,1.61,2.1,2.78,3.02
11/10/11,0.01,0.02,0.05,0.12,0.32,0.54,1.14,1.68,2.18,2.87,3.11
11/10/12,0.01,0.02,0.06,0.09,0.29,0.54,1.17,1.72,2.24,2.94,3.19
11/10/13,0.02,0.02,0.05,0.11,0.29,0.51,1.11,1.67,2.19,2.9,3.15
11/10/14,0.02,0.02,0.06,0.11,0.28,0.5,1.12,1.71,2.26,2.97,3.22
11/10/17,0.02,0.04,0.06,0.12,0.28,0.48,1.08,1.65,2.18,2.88,3.13
11/10/18,0.02,0.04,0.07,0.12,0.28,0.47,1.07,1.64,2.19,2.91,3.17
11/10/19,0.01,0.03,0.06,0.11,0.28,0.46,1.05,1.62,2.18,2.9,3.17
11/10/20,0.02,0.03,0.06,0.12,0.28,0.46,1.07,1.64,2.2,2.92,3.19
11/10/21,0.01,0.02,0.05,0.12,0.3,0.46,1.08,1.66,2.23,2.98,3.26
11/10/24,0.01,0.02,0.06,0.11,0.3,0.47,1.1,1.7,2.25,3,3.27
11/10/25,0.01,0.01,0.06,0.11,0.26,0.43,1.01,1.6,2.14,2.86,3.13
11/10/26,0.01,0.02,0.06,0.13,0.28,0.48,1.09,1.68,2.23,2.95,3.22
11/10/27,0.02,0.02,0.07,0.14,0.31,0.53,1.2,1.83,2.42,3.18,3.45
11/10/28,0.02,0.01,0.06,0.13,0.28,0.5,1.13,1.74,2.34,3.09,3.36
11/10/31,0.02,0.01,0.06,0.12,0.25,0.41,0.99,1.58,2.17,2.89,3.16
11/11/1,0.01,0.01,0.05,0.13,0.23,0.38,0.9,1.45,2.01,2.73,2.99
11/11/2,0.01,0.01,0.04,0.11,0.23,0.37,0.89,1.44,2.03,2.75,3.03
11/11/3,0.01,0.01,0.04,0.11,0.24,0.39,0.91,1.48,2.09,2.83,3.1
11/11/4,0.01,0.01,0.03,0.11,0.22,0.37,0.88,1.45,2.06,2.81,3.09
11/11/7,0.01,0.01,0.04,0.09,0.25,0.38,0.88,1.44,2.04,2.77,3.05
11/11/8,0.01,0.01,0.03,0.1,0.25,0.39,0.92,1.5,2.1,2.84,3.13
11/11/9,0.01,0.01,0.04,0.1,0.24,0.37,0.88,1.41,2,2.73,3.03
11/11/10,0.01,0.01,0.03,0.1,0.24,0.38,0.9,1.45,2.04,2.8,3.12
11/11/14,0.01,0.01,0.04,0.09,0.24,0.39,0.91,1.46,2.04,2.77,3.09
11/11/15,0.01,0.01,0.05,0.11,0.26,0.4,0.93,1.48,2.06,2.79,3.1
11/11/16,0.01,0.01,0.04,0.11,0.26,0.4,0.9,1.44,2.01,2.73,3.05
11/11/17,0.01,0.02,0.04,0.1,0.27,0.4,0.88,1.41,1.96,2.66,2.98
11/11/18,0.02,0.01,0.04,0.12,0.29,0.43,0.94,1.48,2.01,2.69,2.99
11/11/21,0.02,0.02,0.05,0.11,0.27,0.41,0.92,1.45,1.97,2.65,2.96
11/11/22,0.02,0.02,0.06,0.11,0.26,0.4,0.91,1.42,1.94,2.6,2.91
11/11/23,0.02,0.02,0.06,0.12,0.26,0.4,0.88,1.38,1.89,2.53,2.82
11/11/25,0.02,0.02,0.07,0.13,0.28,0.41,0.93,1.45,1.97,2.62,2.92
11/11/28,0.02,0.03,0.07,0.13,0.26,0.39,0.91,1.44,1.97,2.63,2.93
11/11/29,0.02,0.02,0.05,0.14,0.27,0.4,0.93,1.48,2,2.66,2.96
11/11/30,0.02,0.01,0.06,0.12,0.25,0.41,0.96,1.53,2.08,2.77,3.06
11/12/1,0.02,0.01,0.05,0.12,0.27,0.41,0.97,1.55,2.11,2.82,3.12
11/12/2,0.02,0.02,0.06,0.12,0.25,0.39,0.92,1.49,2.05,2.74,3.03
11/12/5,0.01,0.01,0.05,0.11,0.27,0.4,0.93,1.49,2.04,2.73,3.02
11/12/6,0,0.01,0.04,0.11,0.25,0.41,0.94,1.52,2.08,2.74,3.09
11/12/7,0,0.02,0.05,0.11,0.24,0.36,0.89,1.46,2.02,2.74,3.04
11/12/8,0,0.01,0.04,0.1,0.22,0.35,0.86,1.41,1.99,2.7,3
11/12/9,0,0.01,0.05,0.11,0.22,0.37,0.89,1.48,2.07,2.79,3.1
11/12/12,0,0.01,0.05,0.1,0.24,0.36,0.87,1.45,2.03,2.75,3.06
11/12/13,0,0.01,0.06,0.11,0.24,0.35,0.85,1.4,1.96,2.66,2.98
11/12/14,0,0.01,0.05,0.12,0.25,0.36,0.86,1.38,1.92,2.59,2.91
11/12/15,0,0,0.05,0.12,0.26,0.37,0.86,1.38,1.92,2.6,2.92
11/12/16,0,0,0.04,0.11,0.24,0.35,0.81,1.32,1.86,2.54,2.86
11/12/19,0,0.01,0.04,0.11,0.24,0.36,0.82,1.3,1.82,2.48,2.79
11/12/20,0,0.01,0.04,0.12,0.26,0.39,0.88,1.39,1.94,2.61,2.93
11/12/21,0,0.01,0.04,0.13,0.28,0.4,0.91,1.44,1.98,2.67,3
11/12/22,0,0.01,0.03,0.12,0.28,0.41,0.91,1.43,1.97,2.67,2.99
11/12/23,0,0.01,0.04,0.12,0.28,0.45,0.97,1.49,2.03,2.73,3.05
11/12/27,0.01,0.02,0.06,0.12,0.3,0.45,0.96,1.49,2.02,2.72,3.04
11/12/28,0,0.01,0.05,0.12,0.28,0.42,0.91,1.41,1.93,2.59,2.91
11/12/29,0,0.02,0.07,0.12,0.28,0.41,0.88,1.38,1.91,2.58,2.9
11/12/30,0.01,0.02,0.06,0.12,0.25,0.36,0.83,1.35,1.89,2.57,2.89
12/1/3,0.01,0.02,0.06,0.12,0.27,0.4,0.89,1.41,1.97,2.67,2.98
12/1/4,0.01,0.02,0.06,0.12,0.25,0.4,0.89,1.43,2,2.71,3.03
12/1/5,0.01,0.02,0.07,0.11,0.27,0.4,0.88,1.43,2.02,2.74,3.06
12/1/6,0.02,0.02,0.05,0.12,0.25,0.4,0.86,1.4,1.98,2.7,3.02
12/1/9,0.01,0.01,0.05,0.11,0.26,0.38,0.85,1.39,1.98,2.7,3.02
12/1/10,0.01,0.02,0.05,0.11,0.24,0.37,0.86,1.41,2,2.71,3.04
12/1/11,0.01,0.02,0.05,0.11,0.24,0.34,0.82,1.34,1.93,2.63,2.96
12/1/12,0.02,0.03,0.06,0.11,0.22,0.35,0.84,1.37,1.94,2.65,2.97
12/1/13,0.02,0.03,0.06,0.1,0.24,0.34,0.8,1.32,1.89,2.59,2.91
12/1/17,0.02,0.03,0.06,0.11,0.21,0.33,0.79,1.31,1.87,2.57,2.89
12/1/18,0.02,0.03,0.07,0.11,0.24,0.35,0.82,1.34,1.92,2.63,2.96
12/1/19,0.04,0.05,0.07,0.11,0.26,0.36,0.87,1.43,2.01,2.72,3.05
12/1/20,0.03,0.05,0.07,0.11,0.26,0.38,0.91,1.47,2.05,2.78,3.1
12/1/23,0.03,0.04,0.07,0.12,0.26,0.39,0.93,1.51,2.09,2.82,3.15
12/1/24,0.02,0.04,0.07,0.12,0.24,0.39,0.92,1.49,2.08,2.82,3.15
12/1/25,0.03,0.04,0.07,0.12,0.22,0.34,0.81,1.4,2.01,2.78,3.13
12/1/26,0.04,0.05,0.08,0.12,0.22,0.31,0.77,1.34,1.96,2.74,3.1
12/1/27,0.05,0.06,0.08,0.12,0.22,0.32,0.75,1.31,1.93,2.71,3.07
12/1/30,0.05,0.05,0.08,0.12,0.22,0.31,0.73,1.27,1.87,2.64,2.99
12/1/31,0.04,0.06,0.08,0.13,0.22,0.3,0.71,1.24,1.83,2.59,2.94
12/2/1,0.05,0.06,0.09,0.13,0.23,0.31,0.72,1.27,1.87,2.65,3.01
12/2/2,0.07,0.08,0.1,0.14,0.23,0.31,0.71,1.25,1.86,2.64,3.01
12/2/3,0.06,0.08,0.1,0.14,0.23,0.33,0.78,1.35,1.97,2.76,3.13
12/2/6,0.04,0.08,0.1,0.14,0.24,0.32,0.76,1.32,1.93,2.71,3.08
12/2/7,0.06,0.08,0.11,0.14,0.25,0.35,0.82,1.39,2,2.78,3.14
12/2/8,0.06,0.09,0.11,0.15,0.27,0.35,0.82,1.39,2.01,2.78,3.14
12/2/9,0.06,0.09,0.12,0.15,0.27,0.38,0.86,1.43,2.04,2.83,3.2
12/2/10,0.05,0.09,0.12,0.15,0.27,0.36,0.81,1.36,1.96,2.75,3.11
12/2/13,0.06,0.11,0.14,0.15,0.29,0.4,0.85,1.4,1.99,2.78,3.14
12/2/14,0.09,0.12,0.15,0.18,0.29,0.4,0.81,1.34,1.92,2.7,3.06
12/2/15,0.09,0.11,0.13,0.18,0.29,0.38,0.81,1.34,1.93,2.72,3.09
12/2/16,0.04,0.1,0.13,0.17,0.29,0.42,0.87,1.41,1.99,2.78,3.14
